Sector,Revenue,RevenueRank,conter
Medical/Pharmaceutical,10M-25M,4,1202
Computers/Technology,50M-100M,6,1203
Computers/Technology,50M-100M,6,1204
Manufacturing/Fabrication,> 10B,12,1205
Medical/Pharmaceutical,100M-500M,7,1206
Manufacturing/Fabrication,2B-5B,10,1207
Online Service/Internet-based Services,2M-5M,2,1208
Marketing/CRM,10M-25M,4,1209
Online Service/Internet-based Services,25M-50M,5,1210
Medical/Pharmaceutical,> 10B,12,1211
Online Service/Internet-based Services,2M-5M,2,1212
Accounting/Finance,1B-2B,9,1213
Computers/Technology,> 10B,12,1214
Computers/Technology,> 10B,12,1215
Computers/Technology,500M-1B,8,1216
Computers/Technology,10M-25M,4,1217
Medical/Pharmaceutical,> 10B,12,1218
Online Service/Internet-based Services,25M-50M,5,1219
Manufacturing/Fabrication,> 10B,12,1220
Medical/Pharmaceutical,500M-1B,8,1221
Manufacturing/Fabrication,> 10B,12,1222
Medical/Pharmaceutical,2M-5M,2,1223
Accounting/Finance,5B-10B,11,1224
Online Service/Internet-based Services,2B-5B,10,1225
Computers/Technology,2B-5B,10,1226
Medical/Pharmaceutical,100M-500M,7,1227
Online Service/Internet-based Services,25M-50M,5,1228
Computers/Technology,> 10B,12,1229
Military/Security/Defense,> 10B,12,1230
Computers/Technology,50M-100M,6,1231
Broadcasting/Communications,10M-25M,4,1232
Computers/Technology,5M-10M,3,1233
Computers/Technology,100M-500M,7,1234
Computers/Technology,10M-25M,4,1235
Manufacturing/Fabrication,25M-50M,5,1236
Manufacturing/Fabrication,> 10B,12,1237
Accounting/Finance,> 10B,12,1238
Computers/Technology,1M-2M,1,1239
Telco,> 10B,12,1240
Telco,> 10B,12,1241
Accounting/Finance,> 10B,12,1242
Computers/Technology,5B-10B,11,1243
Computers/Technology,> 10B,12,1244
Accounting/Finance,2B-5B,10,1245
Medical/Pharmaceutical,> 10B,12,1246
Manufacturing/Fabrication,100M-500M,7,1247
Shipping/Transportation,25M-50M,5,1248
Online Service/Internet-based Services,10M-25M,4,1249
Government/Public Service,2B-5B,10,1250
Manufacturing/Fabrication,100M-500M,7,1251
Manufacturing/Fabrication,25M-50M,5,1252
Academics/Education,500M-1B,8,1253
Accounting/Finance,10M-25M,4,1254
Manufacturing/Fabrication,> 10B,12,1255
Medical/Pharmaceutical,5B-10B,11,1256
Computers/Technology,> 10B,12,1257
Online Service/Internet-based Services,2M-5M,2,1258
Computers/Technology,100M-500M,7,1259
Manufacturing/Fabrication,500M-1B,8,1260
Online Service/Internet-based Services,100M-500M,7,1261
Manufacturing/Fabrication,1B-2B,9,1262
Insurance/Risk Assessment,> 10B,12,1263
Computers/Technology,2B-5B,10,1264
Computers/Technology,10M-25M,4,1265
Production,10M-25M,4,1266
Computers/Technology,10M-25M,4,1267
Broadcasting/Communications,100M-500M,7,1268
Computers/Technology,> 10B,12,1269
Manufacturing/Fabrication,500M-1B,8,1270
Telco,10M-25M,4,1271
Retail/Sales,> 10B,12,1272
Production,10M-25M,4,1273
Medical/Pharmaceutical,2B-5B,10,1274
Computers/Technology,5M-10M,3,1275
Computers/Technology,> 10B,12,1276
Medical/Pharmaceutical,> 10B,12,1277
Medical/Pharmaceutical,10M-25M,4,1278
Manufacturing/Fabrication,2B-5B,10,1279
Computers/Technology,2B-5B,10,1280
Retail/Sales,> 10B,12,1281
Computers/Technology,> 10B,12,1282
Computers/Technology,10M-25M,4,1283
Computers/Technology,100M-500M,7,1284
Online Service/Internet-based Services,100M-500M,7,1285
Online Service/Internet-based Services,25M-50M,5,1286
Academics/Education,100M-500M,7,1287
Shipping/Transportation,25M-50M,5,1288
Computers/Technology,2B-5B,10,1289
Broadcasting/Communications,100M-500M,7,1290
Non-profit/Service,50M-100M,6,1291
Academics/Education,2B-5B,10,1292
Manufacturing/Fabrication,> 10B,12,1293
Production,100M-500M,7,1294
Computers/Technology,> 10B,12,1295
Online Service/Internet-based Services,2M-5M,2,1296
Military/Security/Defense,> 10B,12,1297
Accounting/Finance,2B-5B,10,1298
Manufacturing/Fabrication,> 10B,12,1299
Online Service/Internet-based Services,1M-2M,1,1300
Medical/Pharmaceutical,2B-5B,10,1301
Production,100M-500M,7,1302
Online Service/Internet-based Services,5M-10M,3,1303
Online Service/Internet-based Services,100M-500M,7,1304
Accounting/Finance,> 10B,12,1305
Academics/Education,1B-2B,9,1306
Computers/Technology,2B-5B,10,1307
Manufacturing/Fabrication,> 10B,12,1308
Accounting/Finance,10M-25M,4,1309
Accounting/Finance,> 10B,12,1310
Academics/Education,5B-10B,11,1311
Medical/Pharmaceutical,100M-500M,7,1312
Computers/Technology,5B-10B,11,1313
Shipping/Transportation,> 10B,12,1314
Computers/Technology,2M-5M,2,1315
Accounting/Finance,> 10B,12,1316
Manufacturing/Fabrication,> 10B,12,1317
Insurance/Risk Assessment,> 10B,12,1318
Computers/Technology,2B-5B,10,1319
Accounting/Finance,> 10B,12,1320
Computers/Technology,100M-500M,7,1321
Computers/Technology,1M-2M,1,1322
Computers/Technology,2M-5M,2,1323
Computers/Technology,> 10B,12,1324
Manufacturing/Fabrication,25M-50M,5,1325
Accounting/Finance,> 10B,12,1326
Accounting/Finance,100M-500M,7,1327
Online Service/Internet-based Services,10M-25M,4,1328
Accounting/Finance,2M-5M,2,1329
Academics/Education,500M-1B,8,1330
Academics/Education,100M-500M,7,1331
Shipping/Transportation,> 10B,12,1332
Accounting/Finance,5B-10B,11,1333
Manufacturing/Fabrication,50M-100M,6,1334
Manufacturing/Fabrication,2B-5B,10,1335
Accounting/Finance,5B-10B,11,1336
Medical/Pharmaceutical,1B-2B,9,1337
Broadcasting/Communications,> 10B,12,1338
Manufacturing/Fabrication,2B-5B,10,1339
Online Service/Internet-based Services,> 10B,12,1340
Retail/Sales,25M-50M,5,1341
Online Service/Internet-based Services,25M-50M,5,1342
Online Service/Internet-based Services,2M-5M,2,1343
Medical/Pharmaceutical,> 10B,12,1344
Manufacturing/Fabrication,> 10B,12,1345
Accounting/Finance,10M-25M,4,1346
Manufacturing/Fabrication,50M-100M,6,1347
Online Service/Internet-based Services,100M-500M,7,1348
Retail/Sales,5B-10B,11,1349
Shipping/Transportation,2M-5M,2,1350
Computers/Technology,> 10B,12,1351
Online Service/Internet-based Services,2M-5M,2,1352
Manufacturing/Fabrication,25M-50M,5,1353
Medical/Pharmaceutical,2B-5B,10,1354
Computers/Technology,25M-50M,5,1355
Retail/Sales,1B-2B,9,1356
Production,5M-10M,3,1357
Computers/Technology,2B-5B,10,1358
Manufacturing/Fabrication,2B-5B,10,1359
Accounting/Finance,5B-10B,11,1360
Insurance/Risk Assessment,5M-10M,3,1361
Accounting/Finance,> 10B,12,1362
Computers/Technology,100M-500M,7,1363
Online Service/Internet-based Services,100M-500M,7,1364
Retail/Sales,> 10B,12,1365
Insurance/Risk Assessment,100M-500M,7,1366
Insurance/Risk Assessment,10M-25M,4,1367
Online Service/Internet-based Services,10M-25M,4,1368
Online Service/Internet-based Services,5B-10B,11,1369
Computers/Technology,10M-25M,4,1370
Computers/Technology,25M-50M,5,1371
Manufacturing/Fabrication,5B-10B,11,1372
Real Estate,100M-500M,7,1373
Academics/Education,25M-50M,5,1374
Computers/Technology,10M-25M,4,1375
Shipping/Transportation,10M-25M,4,1376
Online Service/Internet-based Services,10M-25M,4,1377
Government/Public Service,2B-5B,10,1378
Insurance/Risk Assessment,50M-100M,6,1379
Retail/Sales,5M-10M,3,1380
Medical/Pharmaceutical,1B-2B,9,1381
Manufacturing/Fabrication,100M-500M,7,1382
Broadcasting/Communications,10M-25M,4,1383
Online Service/Internet-based Services,100M-500M,7,1384
Computers/Technology,5B-10B,11,1385
Broadcasting/Communications,5B-10B,11,1386
Medical/Pharmaceutical,> 10B,12,1387
Computers/Technology,> 10B,12,1388
Manufacturing/Fabrication,> 10B,12,1389
Computers/Technology,> 10B,12,1390
Computers/Technology,10M-25M,4,1391
Insurance/Risk Assessment,5B-10B,11,1392
Non-profit/Service,2M-5M,2,1393
Manufacturing/Fabrication,> 10B,12,1394
Insurance/Risk Assessment,> 10B,12,1395
Computers/Technology,100M-500M,7,1396
Computers/Technology,> 10B,12,1397
Military/Security/Defense,> 10B,12,1398
Accounting/Finance,2B-5B,10,1399
Computers/Technology,> 10B,12,1400
Accounting/Finance,5B-10B,11,1401
Online Service/Internet-based Services,1M-2M,1,1402
Shipping/Transportation,50M-100M,6,1403
Computers/Technology,500M-1B,8,1404
Online Service/Internet-based Services,100M-500M,7,1405
Manufacturing/Fabrication,> 10B,12,1406
Retail/Sales,> 10B,12,1407
Computers/Technology,10M-25M,4,1408
Manufacturing/Fabrication,100M-500M,7,1409
Computers/Technology,> 10B,12,1410
Manufacturing/Fabrication,25M-50M,5,1411
Telco,100M-500M,7,1412
Computers/Technology,> 10B,12,1413
Manufacturing/Fabrication,> 10B,12,1414
Computers/Technology,50M-100M,6,1415
Computers/Technology,2M-5M,2,1416
Medical/Pharmaceutical,> 10B,12,1417
Manufacturing/Fabrication,2M-5M,2,1418
Manufacturing/Fabrication,1B-2B,9,1419
Manufacturing/Fabrication,> 10B,12,1420
Academics/Education,1B-2B,9,1421
Computers/Technology,> 10B,12,1422
Military/Security/Defense,> 10B,12,1423
Manufacturing/Fabrication,> 10B,12,1424
Online Service/Internet-based Services,> 10B,12,1425
Computers/Technology,2M-5M,2,1426
Computers/Technology,100M-500M,7,1427
Medical/Pharmaceutical,10M-25M,4,1428
Online Service/Internet-based Services,100M-500M,7,1429
Medical/Pharmaceutical,> 10B,12,1430
Computers/Technology,5M-10M,3,1431
Manufacturing/Fabrication,> 10B,12,1432
Telco,> 10B,12,1433
Military/Security/Defense,2B-5B,10,1434
Academics/Education,10M-25M,4,1435
Medical/Pharmaceutical,2B-5B,10,1436
Computers/Technology,100M-500M,7,1437
Online Service/Internet-based Services,1B-2B,9,1438
Shipping/Transportation,2B-5B,10,1439
Computers/Technology,> 10B,12,1440
Broadcasting/Communications,50M-100M,6,1441
Online Service/Internet-based Services,2M-5M,2,1442
Online Service/Internet-based Services,5M-10M,3,1443
Shipping/Transportation,1B-2B,9,1444
Manufacturing/Fabrication,> 10B,12,1445
Accounting/Finance,100M-500M,7,1446
Retail/Sales,25M-50M,5,1447
Computers/Technology,> 10B,12,1448
Computers/Technology,> 10B,12,1449
Manufacturing/Fabrication,> 10B,12,1450
Manufacturing/Fabrication,50M-100M,6,1451
Accounting/Finance,500M-1B,8,1452
Manufacturing/Fabrication,> 10B,12,1453
Computers/Technology,100M-500M,7,1454
Computers/Technology,> 10B,12,1455
Online Service/Internet-based Services,5M-10M,3,1456
Computers/Technology,2B-5B,10,1457
Non-profit/Service,50M-100M,6,1458
Computers/Technology,500M-1B,8,1459
Medical/Pharmaceutical,> 10B,12,1460
Computers/Technology,2B-5B,10,1461
Online Service/Internet-based Services,5M-10M,3,1462
Computers/Technology,500M-1B,8,1463
Manufacturing/Fabrication,500M-1B,8,1464
Online Service/Internet-based Services,5B-10B,11,1465
Online Service/Internet-based Services,10M-25M,4,1466
Accounting/Finance,10M-25M,4,1467
Telco,2B-5B,10,1468
Medical/Pharmaceutical,> 10B,12,1469
Medical/Pharmaceutical,10M-25M,4,1470
Manufacturing/Fabrication,100M-500M,7,1471
Computers/Technology,100M-500M,7,1472
Computers/Technology,2B-5B,10,1473
Accounting/Finance,5B-10B,11,1474
Academics/Education,5M-10M,3,1475
Online Service/Internet-based Services,50M-100M,6,1476
Shipping/Transportation,> 10B,12,1477
Government/Public Service,1M-2M,1,1478
Shipping/Transportation,5B-10B,11,1479
Accounting/Finance,> 10B,12,1480
Accounting/Finance,> 10B,12,1481
Computers/Technology,5B-10B,11,1482
Online Service/Internet-based Services,> 10B,12,1483
Computers/Technology,> 10B,12,1484
Computers/Technology,1B-2B,9,1485
Manufacturing/Fabrication,2B-5B,10,1486
Computers/Technology,10M-25M,4,1487
Real Estate,2B-5B,10,1488
Non-profit/Service,25M-50M,5,1489
Manufacturing/Fabrication,> 10B,12,1490
Accounting/Finance,> 10B,12,1491
Online Service/Internet-based Services,100M-500M,7,1492
Manufacturing/Fabrication,> 10B,12,1493
Online Service/Internet-based Services,10M-25M,4,1494
Online Service/Internet-based Services,1M-2M,1,1495
Medical/Pharmaceutical,5B-10B,11,1496
Online Service/Internet-based Services,> 10B,12,1497
Manufacturing/Fabrication,2M-5M,2,1498
Manufacturing/Fabrication,5B-10B,11,1499
Military/Security/Defense,> 10B,12,1500
Computers/Technology,100M-500M,7,1501
Manufacturing/Fabrication,10M-25M,4,1502
Online Service/Internet-based Services,25M-50M,5,1503
Agriculture,2M-5M,2,1504
Shipping/Transportation,2B-5B,10,1505
Computers/Technology,> 10B,12,1506
Manufacturing/Fabrication,> 10B,12,1507
Online Service/Internet-based Services,> 10B,12,1508
Insurance/Risk Assessment,5B-10B,11,1509
Online Service/Internet-based Services,> 10B,12,1510
Online Service/Internet-based Services,> 10B,12,1511
Insurance/Risk Assessment,> 10B,12,1512
Computers/Technology,> 10B,12,1513
Computers/Technology,100M-500M,7,1514
Telco,> 10B,12,1515
Military/Security/Defense,2B-5B,10,1516
Online Service/Internet-based Services,> 10B,12,1517
Online Service/Internet-based Services,1B-2B,9,1518
Online Service/Internet-based Services,500M-1B,8,1519
Accounting/Finance,5M-10M,3,1520
Non-profit/Service,10M-25M,4,1521
Accounting/Finance,> 10B,12,1522
Accounting/Finance,25M-50M,5,1523
Academics/Education,2B-5B,10,1524
Computers/Technology,100M-500M,7,1525
Computers/Technology,25M-50M,5,1526
Medical/Pharmaceutical,10M-25M,4,1527
Computers/Technology,> 10B,12,1528
Accounting/Finance,100M-500M,7,1529
Manufacturing/Fabrication,25M-50M,5,1530
Computers/Technology,100M-500M,7,1531
Accounting/Finance,50M-100M,6,1532
Computers/Technology,5B-10B,11,1533
Telco,> 10B,12,1534
Medical/Pharmaceutical,2B-5B,10,1535
Online Service/Internet-based Services,> 10B,12,1536
Computers/Technology,100M-500M,7,1537
Accounting/Finance,100M-500M,7,1538
Online Service/Internet-based Services,100M-500M,7,1539
Computers/Technology,10M-25M,4,1540
Computers/Technology,25M-50M,5,1541
Online Service/Internet-based Services,100M-500M,7,1542
Shipping/Transportation,> 10B,12,1543
Medical/Pharmaceutical,100M-500M,7,1544
Accounting/Finance,> 10B,12,1545
Manufacturing/Fabrication,> 10B,12,1546
Production,5M-10M,3,1547
Telco,100M-500M,7,1548
Broadcasting/Communications,1B-2B,9,1549
Real Estate,100M-500M,7,1550
Medical/Pharmaceutical,2B-5B,10,1551
Medical/Pharmaceutical,2M-5M,2,1552
Shipping/Transportation,50M-100M,6,1553
Computers/Technology,2B-5B,10,1554
Computers/Technology,1B-2B,9,1555
Manufacturing/Fabrication,> 10B,12,1556
Manufacturing/Fabrication,100M-500M,7,1557
Accounting/Finance,> 10B,12,1558
Computers/Technology,100M-500M,7,1559
Computers/Technology,100M-500M,7,1560
Non-profit/Service,100M-500M,7,1561
Insurance/Risk Assessment,5B-10B,11,1562
Manufacturing/Fabrication,1B-2B,9,1563
Manufacturing/Fabrication,5B-10B,11,1564
Computers/Technology,> 10B,12,1565
Manufacturing/Fabrication,2B-5B,10,1566
Broadcasting/Communications,> 10B,12,1567
Manufacturing/Fabrication,> 10B,12,1568
Computers/Technology,2B-5B,10,1569
Manufacturing/Fabrication,2B-5B,10,1570
Medical/Pharmaceutical,100M-500M,7,1571
Online Service/Internet-based Services,50M-100M,6,1572
Online Service/Internet-based Services,> 10B,12,1573
Online Service/Internet-based Services,50M-100M,6,1574
Computers/Technology,100M-500M,7,1575
Computers/Technology,2B-5B,10,1576
Manufacturing/Fabrication,2B-5B,10,1577
Computers/Technology,100M-500M,7,1578
Accounting/Finance,> 10B,12,1579
Retail/Sales,500M-1B,8,1580
Online Service/Internet-based Services,1B-2B,9,1581
Accounting/Finance,> 10B,12,1582
Telco,> 10B,12,1583
Online Service/Internet-based Services,> 10B,12,1584
Accounting/Finance,500M-1B,8,1585
Manufacturing/Fabrication,1B-2B,9,1586
Computers/Technology,50M-100M,6,1587
Computers/Technology,100M-500M,7,1588
Manufacturing/Fabrication,5B-10B,11,1589
Accounting/Finance,> 10B,12,1590
Retail/Sales,> 10B,12,1591
Retail/Sales,10M-25M,4,1592
Computers/Technology,> 10B,12,1593
Online Service/Internet-based Services,5B-10B,11,1594
Insurance/Risk Assessment,10M-25M,4,1595
Accounting/Finance,> 10B,12,1596
Manufacturing/Fabrication,> 10B,12,1597
Computers/Technology,100M-500M,7,1598
Accounting/Finance,100M-500M,7,1599
Accounting/Finance,1B-2B,9,1600
Computers/Technology,2B-5B,10,1601
Manufacturing/Fabrication,5B-10B,11,1602
Academics/Education,500M-1B,8,1603
Online Service/Internet-based Services,> 10B,12,1604
Online Service/Internet-based Services,> 10B,12,1605
Manufacturing/Fabrication,> 10B,12,1606
Accounting/Finance,10M-25M,4,1607
Manufacturing/Fabrication,> 10B,12,1608
Manufacturing/Fabrication,100M-500M,7,1609
Medical/Pharmaceutical,10M-25M,4,1610
Medical/Pharmaceutical,> 10B,12,1611
Computers/Technology,2M-5M,2,1612
Military/Security/Defense,2B-5B,10,1613
Shipping/Transportation,10M-25M,4,1614
Government/Public Service,50M-100M,6,1615
Accounting/Finance,2B-5B,10,1616
Medical/Pharmaceutical,100M-500M,7,1617
Computers/Technology,5M-10M,3,1618
Computers/Technology,100M-500M,7,1619
Computers/Technology,10M-25M,4,1620
Government/Public Service,100M-500M,7,1621
Manufacturing/Fabrication,5B-10B,11,1622
Shipping/Transportation,> 10B,12,1623
Medical/Pharmaceutical,2M-5M,2,1624
Online Service/Internet-based Services,100M-500M,7,1625
Telco,> 10B,12,1626
Broadcasting/Communications,50M-100M,6,1627
Accounting/Finance,100M-500M,7,1628
Online Service/Internet-based Services,5M-10M,3,1629
Academics/Education,500M-1B,8,1630
Agriculture,10M-25M,4,1631
Accounting/Finance,> 10B,12,1632
Medical/Pharmaceutical,> 10B,12,1633
Computers/Technology,5B-10B,11,1634
Accounting/Finance,> 10B,12,1635
Online Service/Internet-based Services,5M-10M,3,1636
Computers/Technology,10M-25M,4,1637
Online Service/Internet-based Services,5B-10B,11,1638
Broadcasting/Communications,> 10B,12,1639
Medical/Pharmaceutical,1M-2M,1,1640
Medical/Pharmaceutical,2M-5M,2,1641
Computers/Technology,> 10B,12,1642
Computers/Technology,5M-10M,3,1643
Accounting/Finance,5B-10B,11,1644
Telco,> 10B,12,1645
Computers/Technology,> 10B,12,1646
Online Service/Internet-based Services,> 10B,12,1647
Accounting/Finance,100M-500M,7,1648
Military/Security/Defense,> 10B,12,1649
Medical/Pharmaceutical,1M-2M,1,1650
Marketing/CRM,500M-1B,8,1651
Military/Security/Defense,5B-10B,11,1652
Manufacturing/Fabrication,2B-5B,10,1653
Computers/Technology,10M-25M,4,1654
Manufacturing/Fabrication,100M-500M,7,1655
Online Service/Internet-based Services,2M-5M,2,1656
Military/Security/Defense,10M-25M,4,1657
Shipping/Transportation,5B-10B,11,1658
Retail/Sales,25M-50M,5,1659
Computers/Technology,> 10B,12,1660
Online Service/Internet-based Services,2B-5B,10,1661
Academics/Education,100M-500M,7,1662
Insurance/Risk Assessment,> 10B,12,1663
Shipping/Transportation,1B-2B,9,1664
Online Service/Internet-based Services,50M-100M,6,1665
Accounting/Finance,> 10B,12,1666
Medical/Pharmaceutical,500M-1B,8,1667
Computers/Technology,5B-10B,11,1668
Computers/Technology,1B-2B,9,1669
Online Service/Internet-based Services,2B-5B,10,1670
Medical/Pharmaceutical,25M-50M,5,1671
Military/Security/Defense,10M-25M,4,1672
Manufacturing/Fabrication,> 10B,12,1673
Manufacturing/Fabrication,500M-1B,8,1674
Computers/Technology,> 10B,12,1675
Manufacturing/Fabrication,100M-500M,7,1676
Medical/Pharmaceutical,100M-500M,7,1677
Computers/Technology,100M-500M,7,1678
Manufacturing/Fabrication,5B-10B,11,1679
Manufacturing/Fabrication,5B-10B,11,1680
Marketing/CRM,1B-2B,9,1681
Medical/Pharmaceutical,> 10B,12,1682
Medical/Pharmaceutical,100M-500M,7,1683
Manufacturing/Fabrication,50M-100M,6,1684
Medical/Pharmaceutical,2M-5M,2,1685
Computers/Technology,100M-500M,7,1686
Manufacturing/Fabrication,> 10B,12,1687
Computers/Technology,100M-500M,7,1688
Computers/Technology,25M-50M,5,1689
Online Service/Internet-based Services,100M-500M,7,1690
Online Service/Internet-based Services,2M-5M,2,1691
Medical/Pharmaceutical,2B-5B,10,1692
Academics/Education,5M-10M,3,1693
Computers/Technology,50M-100M,6,1694
Computers/Technology,10M-25M,4,1695
Online Service/Internet-based Services,50M-100M,6,1696
Online Service/Internet-based Services,500M-1B,8,1697
Manufacturing/Fabrication,> 10B,12,1698
Manufacturing/Fabrication,100M-500M,7,1699
Computers/Technology,> 10B,12,1700
Medical/Pharmaceutical,> 10B,12,1701
Computers/Technology,25M-50M,5,1702
Manufacturing/Fabrication,5B-10B,11,1703
Manufacturing/Fabrication,> 10B,12,1704
Accounting/Finance,> 10B,12,1705
Medical/Pharmaceutical,2B-5B,10,1706
Computers/Technology,500M-1B,8,1707
Online Service/Internet-based Services,2M-5M,2,1708
Manufacturing/Fabrication,500M-1B,8,1709
Computers/Technology,5B-10B,11,1710
Computers/Technology,> 10B,12,1711
Online Service/Internet-based Services,10M-25M,4,1712
Computers/Technology,100M-500M,7,1713
Computers/Technology,> 10B,12,1714
Accounting/Finance,> 10B,12,1715
Computers/Technology,> 10B,12,1716
Military/Security/Defense,2B-5B,10,1717
Computers/Technology,> 10B,12,1718
Accounting/Finance,> 10B,12,1719
Computers/Technology,> 10B,12,1720
Computers/Technology,100M-500M,7,1721
Accounting/Finance,> 10B,12,1722
Medical/Pharmaceutical,2B-5B,10,1723
Computers/Technology,100M-500M,7,1724
Broadcasting/Communications,> 10B,12,1725
Manufacturing/Fabrication,2B-5B,10,1726
Accounting/Finance,> 10B,12,1727
Retail/Sales,2B-5B,10,1728
Computers/Technology,10M-25M,4,1729
Computers/Technology,100M-500M,7,1730
Computers/Technology,> 10B,12,1731
Medical/Pharmaceutical,2B-5B,10,1732
Computers/Technology,100M-500M,7,1733
Online Service/Internet-based Services,10M-25M,4,1734
Computers/Technology,> 10B,12,1735
Online Service/Internet-based Services,100M-500M,7,1736
Computers/Technology,500M-1B,8,1737
Accounting/Finance,> 10B,12,1738
Computers/Technology,10M-25M,4,1739
Accounting/Finance,5B-10B,11,1740
Non-profit/Service,10M-25M,4,1741
Online Service/Internet-based Services,100M-500M,7,1742
Manufacturing/Fabrication,5B-10B,11,1743
Manufacturing/Fabrication,1B-2B,9,1744
Computers/Technology,> 10B,12,1745
Broadcasting/Communications,> 10B,12,1746
Accounting/Finance,> 10B,12,1747
Medical/Pharmaceutical,> 10B,12,1748
Online Service/Internet-based Services,100M-500M,7,1749
Medical/Pharmaceutical,2B-5B,10,1750
Accounting/Finance,> 10B,12,1751
Computers/Technology,> 10B,12,1752
Medical/Pharmaceutical,500M-1B,8,1753
Agriculture,10M-25M,4,1754
Manufacturing/Fabrication,> 10B,12,1755
Medical/Pharmaceutical,2B-5B,10,1756
Real Estate,100M-500M,7,1757
Academics/Education,500M-1B,8,1758
Accounting/Finance,> 10B,12,1759
Computers/Technology,> 10B,12,1760
Accounting/Finance,> 10B,12,1761
Accounting/Finance,> 10B,12,1762
Manufacturing/Fabrication,25M-50M,5,1763
Hospitality/Entertainment/Sports,2B-5B,10,1764
Computers/Technology,2B-5B,10,1765
Computers/Technology,2B-5B,10,1766
Computers/Technology,> 10B,12,1767
Manufacturing/Fabrication,> 10B,12,1768
Computers/Technology,10M-25M,4,1769
Manufacturing/Fabrication,100M-500M,7,1770
Non-profit/Service,50M-100M,6,1771
Manufacturing/Fabrication,5B-10B,11,1772
Accounting/Finance,> 10B,12,1773
Medical/Pharmaceutical,> 10B,12,1774
Online Service/Internet-based Services,> 10B,12,1775
Manufacturing/Fabrication,> 10B,12,1776
Computers/Technology,100M-500M,7,1777
Manufacturing/Fabrication,5M-10M,3,1778
Online Service/Internet-based Services,1M-2M,1,1779
Online Service/Internet-based Services,100M-500M,7,1780
Academics/Education,5B-10B,11,1781
Manufacturing/Fabrication,100M-500M,7,1782
Computers/Technology,100M-500M,7,1783
Computers/Technology,500M-1B,8,1784
Computers/Technology,100M-500M,7,1785
Agriculture,100M-500M,7,1786
Manufacturing/Fabrication,5M-10M,3,1787
Retail/Sales,> 10B,12,1788
Medical/Pharmaceutical,> 10B,12,1789
Government/Public Service,100M-500M,7,1790
Medical/Pharmaceutical,50M-100M,6,1791
Telco,> 10B,12,1792
Telco,> 10B,12,1793
Telco,> 10B,12,1794
Academics/Education,> 10B,12,1795
Manufacturing/Fabrication,2B-5B,10,1796
Manufacturing/Fabrication,500M-1B,8,1797
Computers/Technology,> 10B,12,1798
Computers/Technology,> 10B,12,1799
Computers/Technology,> 10B,12,1800
Medical/Pharmaceutical,2B-5B,10,1801
Medical/Pharmaceutical,> 10B,12,1802
Manufacturing/Fabrication,> 10B,12,1803
Computers/Technology,100M-500M,7,1804
Manufacturing/Fabrication,100M-500M,7,1805
Computers/Technology,> 10B,12,1806
Academics/Education,500M-1B,8,1807
Government/Public Service,100M-500M,7,1808
Online Service/Internet-based Services,> 10B,12,1809
Computers/Technology,> 10B,12,1810
Online Service/Internet-based Services,1B-2B,9,1811
Online Service/Internet-based Services,5M-10M,3,1812
Manufacturing/Fabrication,> 10B,12,1813
Manufacturing/Fabrication,100M-500M,7,1814
Medical/Pharmaceutical,2B-5B,10,1815
Manufacturing/Fabrication,> 10B,12,1816
Military/Security/Defense,> 10B,12,1817
Medical/Pharmaceutical,> 10B,12,1818
Manufacturing/Fabrication,2B-5B,10,1819
Computers/Technology,> 10B,12,1820
Computers/Technology,100M-500M,7,1821
Accounting/Finance,2M-5M,2,1822
Academics/Education,1B-2B,9,1823
Retail/Sales,1B-2B,9,1824
Telco,> 10B,12,1825
Accounting/Finance,5B-10B,11,1826
Retail/Sales,10M-25M,4,1827
Computers/Technology,50M-100M,6,1828
Computers/Technology,1B-2B,9,1829
Manufacturing/Fabrication,> 10B,12,1830
Medical/Pharmaceutical,10M-25M,4,1831
Online Service/Internet-based Services,2B-5B,10,1832
Computers/Technology,1M-2M,1,1833
Academics/Education,500M-1B,8,1834
Online Service/Internet-based Services,1B-2B,9,1835
Computers/Technology,> 10B,12,1836
Computers/Technology,50M-100M,6,1837
Online Service/Internet-based Services,2B-5B,10,1838
Computers/Technology,25M-50M,5,1839
Computers/Technology,10M-25M,4,1840
Academics/Education,500M-1B,8,1841
Online Service/Internet-based Services,100M-500M,7,1842
Computers/Technology,10M-25M,4,1843
Computers/Technology,5M-10M,3,1844
Accounting/Finance,> 10B,12,1845
Computers/Technology,> 10B,12,1846
Accounting/Finance,100M-500M,7,1847
Computers/Technology,100M-500M,7,1848
Telco,> 10B,12,1849
Medical/Pharmaceutical,> 10B,12,1850
Manufacturing/Fabrication,5B-10B,11,1851
Shipping/Transportation,> 10B,12,1852
Non-profit/Service,100M-500M,7,1853
Retail/Sales,> 10B,12,1854
Accounting/Finance,500M-1B,8,1855
Computers/Technology,100M-500M,7,1856
Online Service/Internet-based Services,25M-50M,5,1857
Online Service/Internet-based Services,5M-10M,3,1858
Computers/Technology,100M-500M,7,1859
Shipping/Transportation,5B-10B,11,1860
Computers/Technology,> 10B,12,1861
Telco,> 10B,12,1862
Hospitality/Entertainment/Sports,25M-50M,5,1863
Government/Public Service,500M-1B,8,1864
Computers/Technology,100M-500M,7,1865
Computers/Technology,> 10B,12,1866
Computers/Technology,500M-1B,8,1867
Computers/Technology,> 10B,12,1868
Online Service/Internet-based Services,5B-10B,11,1869
Medical/Pharmaceutical,100M-500M,7,1870
Computers/Technology,> 10B,12,1871
