Sector,Revenue,RevenueRank,conter
Computers/Technology,> 10B,12,6374
Manufacturing/Fabrication,1B-2B,9,6375
Accounting/Finance,> 10B,12,6376
Broadcasting/Communications,> 10B,12,6377
Computers/Technology,100M-500M,7,6378
Accounting/Finance,> 10B,12,6379
Accounting/Finance,100M-500M,7,6380
Online Service/Internet-based Services,100M-500M,7,6381
Online Service/Internet-based Services,2M-5M,2,6382
Computers/Technology,100M-500M,7,6383
Computers/Technology,5B-10B,11,6384
Telco,1B-2B,9,6385
Online Service/Internet-based Services,25M-50M,5,6386
Broadcasting/Communications,5B-10B,11,6387
Manufacturing/Fabrication,> 10B,12,6388
Online Service/Internet-based Services,5M-10M,3,6389
Online Service/Internet-based Services,100M-500M,7,6390
Computers/Technology,2B-5B,10,6391
Production,100M-500M,7,6392
Medical/Pharmaceutical,2B-5B,10,6393
Non-profit/Service,2M-5M,2,6394
Online Service/Internet-based Services,2M-5M,2,6395
Computers/Technology,100M-500M,7,6396
Online Service/Internet-based Services,25M-50M,5,6397
Military/Security/Defense,> 10B,12,6398
Manufacturing/Fabrication,> 10B,12,6399
Computers/Technology,100M-500M,7,6400
Insurance/Risk Assessment,1M-2M,1,6401
Medical/Pharmaceutical,10M-25M,4,6402
Computers/Technology,2B-5B,10,6403
Computers/Technology,> 10B,12,6404
Online Service/Internet-based Services,> 10B,12,6405
Accounting/Finance,500M-1B,8,6406
Computers/Technology,> 10B,12,6407
Broadcasting/Communications,5B-10B,11,6408
Computers/Technology,2B-5B,10,6409
Online Service/Internet-based Services,50M-100M,6,6410
Computers/Technology,1M-2M,1,6411
Shipping/Transportation,> 10B,12,6412
Manufacturing/Fabrication,5B-10B,11,6413
Manufacturing/Fabrication,1B-2B,9,6414
Computers/Technology,10M-25M,4,6415
Hospitality/Entertainment/Sports,10M-25M,4,6416
Medical/Pharmaceutical,> 10B,12,6417
Online Service/Internet-based Services,5B-10B,11,6418
Manufacturing/Fabrication,> 10B,12,6419
Retail/Sales,> 10B,12,6420
Computers/Technology,100M-500M,7,6421
Accounting/Finance,1M-2M,1,6422
Online Service/Internet-based Services,100M-500M,7,6423
Computers/Technology,> 10B,12,6424
Accounting/Finance,500M-1B,8,6425
Military/Security/Defense,10M-25M,4,6426
Online Service/Internet-based Services,100M-500M,7,6427
Food,10M-25M,4,6428
Telco,10M-25M,4,6429
Telco,5B-10B,11,6430
Military/Security/Defense,500M-1B,8,6431
Shipping/Transportation,1B-2B,9,6432
Manufacturing/Fabrication,10M-25M,4,6433
Insurance/Risk Assessment,2B-5B,10,6434
Computers/Technology,> 10B,12,6435
Accounting/Finance,5B-10B,11,6436
Computers/Technology,25M-50M,5,6437
Online Service/Internet-based Services,100M-500M,7,6438
Computers/Technology,100M-500M,7,6439
Manufacturing/Fabrication,> 10B,12,6440
Computers/Technology,1B-2B,9,6441
Computers/Technology,100M-500M,7,6442
Computers/Technology,1B-2B,9,6443
Accounting/Finance,> 10B,12,6444
Computers/Technology,100M-500M,7,6445
Computers/Technology,> 10B,12,6446
Medical/Pharmaceutical,10M-25M,4,6447
Retail/Sales,> 10B,12,6448
Insurance/Risk Assessment,> 10B,12,6449
Computers/Technology,50M-100M,6,6450
Accounting/Finance,> 10B,12,6451
Medical/Pharmaceutical,> 10B,12,6452
Computers/Technology,2B-5B,10,6453
Medical/Pharmaceutical,5B-10B,11,6454
Manufacturing/Fabrication,> 10B,12,6455
Hospitality/Entertainment/Sports,5B-10B,11,6456
Accounting/Finance,> 10B,12,6457
Online Service/Internet-based Services,500M-1B,8,6458
Manufacturing/Fabrication,> 10B,12,6459
Manufacturing/Fabrication,2B-5B,10,6460
Academics/Education,500M-1B,8,6461
Accounting/Finance,1M-2M,1,6462
Retail/Sales,5M-10M,3,6463
Manufacturing/Fabrication,10M-25M,4,6464
Computers/Technology,5B-10B,11,6465
Shipping/Transportation,10M-25M,4,6466
